year,College,responses
2010/2011,AS,1954
2010/2011,BU,2640
2010/2011,CP,322
2010/2011,ED,2232
2010/2011,HP,2655
2010/2011,KE,1419
2010/2011,OP,143
2010/2011,PH,529
2010/2011,TE,1958
2011/2012,AS,2006
2011/2012,BU,2634
2011/2012,CP,298
2011/2012,ED,2294
2011/2012,HP,2716
2011/2012,KE,1414
2011/2012,OP,145
2011/2012,PH,529
2011/2012,TE,1959
2012/2013,AS,1942
2012/2013,BU,2700
2012/2013,CP,303
2012/2013,ED,2238
2012/2013,HP,2634
2012/2013,KE,1461
2012/2013,OP,147
2012/2013,PH,562
2012/2013,TE,1915
2013/2014,AS,1753
2013/2014,BU,2777
2013/2014,CP,59
2013/2014,ED,2277
2013/2014,HP,2510
2013/2014,KE,1459
2013/2014,OP,150
2013/2014,PH,588
2013/2014,TE,2063
2014/2015,AS,1815
2014/2015,BU,2736
2014/2015,CP,67
2014/2015,ED,2283
2014/2015,HP,2443
2014/2015,KE,1438
2014/2015,OP,145
2014/2015,PH,574
2014/2015,TE,2116
2015/2016,AS,1874
2015/2016,BU,2784
2015/2016,CP,70
2015/2016,ED,2306
2015/2016,HP,2287
2015/2016,KE,1328
2015/2016,OP,146
2015/2016,PH,598
2015/2016,TE,2188
