year,Degree,responses
2010/2011,Associates,718
2010/2011,Bachelors,2199
2010/2011,Certificate,247
2010/2011,Graduate,343
2011/2012,Associates,819
2011/2012,Bachelors,2310
2011/2012,Certificate,298
2011/2012,Graduate,334
2012/2013,Associates,790
2012/2013,Bachelors,2359
2012/2013,Certificate,249
2012/2013,Graduate,282
2013/2014,Associates,683
2013/2014,Bachelors,2412
2013/2014,Certificate,288
2013/2014,Graduate,350
2014/2015,Associates,695
2014/2015,Bachelors,2404
2014/2015,Certificate,370
2014/2015,Graduate,331
2015/2016,Associates,741
2015/2016,Bachelors,2600
2015/2016,Certificate,441
2015/2016,Graduate,414
