"COMPETENCY","COURSE","MEASURE"
"Diversity","SOCY 225","05) A short written report (1 to 2 pages in length)"
"Self and Society","SOCY 225","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","SOCY 373","06) A medium written report (3 to 9 pages in length)"
"Collaboration","SOCY 373","12) An oral presentation"
"Culture","ANTH 371","06) A medium written report (3 to 9 pages in length)"
"Collaboration","ANTH 371","12) An oral presentation"
"Diversity","ANTH 122","05) A short written report (1 to 2 pages in length)"
"Culture","ANTH 122","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","AFAM 107","02) A constructed response exam (short answer, essay, etc.)"
"Culture","AFAM 107","05) A short written report (1 to 2 pages in length)"
"Quantitative Literacy","MATH 216","02) A constructed response exam (short answer, essay, etc.)"
"Quantitative Literacy","MATH 109","08) A student project"
"Natural Sciences","BIOL 108","05) A short written report (1 to 2 pages in length)"
"Self and Society","GEOG 100","05) A short written report (1 to 2 pages in length)"
"Problem Solving","GEOG 311","12) An oral presentation"
"Diversity","GEOG 112","05) A short written report (1 to 2 pages in length)"
"Self and Society","GEOG 112","05) A short written report (1 to 2 pages in length)"
"Diversity","GEOG 100","05) A short written report (1 to 2 pages in length)"
"Quantitative Literacy","MATH 220","02) A constructed response exam (short answer, essay, etc.)"
"Diversity","HIST 372","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","HIST 372","03) A pre- and post-test"
"Culture","HIST 121","05) A short written report (1 to 2 pages in length)"
"Natural Sciences","PHYS 211","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","THTR 219","08) A student project"
"Self and Society","PSYC 335","12) An oral presentation"
"Diversity","PSYC 150","12) An oral presentation"
"Communication","COMM 121","12) An oral presentation"
"Communication","COMM 121","03) A pre- and post-test"
"Self and Society","SOCY 225","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","SOCY 225","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","SOCY 122","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","SOCY 122","01) A selected response exam (T/F, multiple-choice, etc.)"
"Diversity","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Self and Society","SOCY 121","01) A selected response exam (T/F, multiple-choice, etc.)"
"Culture","MUSI 251","13) A student performance"
"Culture","MUSI 201","13) A student performance"
"Culture","MUSI 232","12) An oral presentation"
